created_at,screen_name,text
2019,ChrisThomasTravels,Jalan Braga while not as storied as Jalan Asia Afrika has fared unfortunately similarly in the decades since its colonial past. While the historical architecture is interesting to look at the traffic hawkers and pollution are a constant distraction. I was disappointed in the
2019,Finds_posts,it is very messy and hot around here. whats left is the european style buildings in one of the main street in Bandung
2020,LinaRiswintaA,The historical street with Europe ambience along the street. It has so many cafes restos and bars to spend the time with friends or family..
2020,BarbaraR,We went at midday and had a nice meal at a Sundanese place. The street is full of restaurants and a few art shops with paintings but not much else. I was disappointed.
2019,MarineRamdhani,A City symbol first street in Bandung great place to hang out a lot of restaurant and cafe and bar but sad now the traffic to chaos but braga is braga still have to many story since colonial era
2020,LP0700,This is an interesting street filled with restaurants cafes traditional bakery and paintings. Remember to look up and admire the architecture. Feel like being transported to a different era.
2020,christinelovelyred,Braga City Walk is near other landmarks hence this is a good place for a Bandung City Tour.   Braga City walk is just walking distance from the Grand Mosque Aisa-Africa Conference Museum and the St. Peter Cathedral.   There are a lot of shops and restaurants along Braga
2019,paulinem,a place for adults to listen to live band and drink and dance. some paintings being sold and you can get your portrait drawn. some parts are dark and spooky at night
2020,blue_ring001,We are a frequent visitor to Braga having been here a few times. We usually stop for breakfast at Braga Permai because we enjoy local coffee and local yoghurt and watch people walk by. Another favorite stop is Rasa Bakery which provides a lot of varieties of bread and local
2019,MarvellHero,Situated at the heart of Bandung Braga Street offer stunning night activities with colonial old buildings especially at night time. Many restaurants and coffee shops are open at night time offer indulge food and lively night when spending time with the family. The only cons
2019,IWNoordergraaf,We my colleague and me walked through but had a hard time to cross over considering too much traffic cars motorcycles etc - which is very common in Indonesian cities but if city council would like to promote this street as a tourist attraction they should find a solution
2019,MaggieT,Definitely worth a stroll in the daytime for a sense of history from the Art Deco buildings and the bakeries. The historical bakery still has the old scales refrigerators and cash registers. It has not been 'renovated' so history leaps out at you. The pastries and sausage rolls
